exp_v14 FI (cat4 en lugar de cat3)

========================================================
fijo | cat4=11.4%
========================================================
                    gain  splits  gain_pct
c4_tn_17          3247.7     252       0.4
roll_min_3        3200.6     186       0.4
diff_0_12         3168.6     266       0.4
c4_tn_14          3162.3     228       0.4
pred_ols_yoy      3160.0     230       0.4
tn_23             3110.1     249       0.4
ma3_lag6          3045.5     249       0.4
tn_8              3044.3     278       0.4
sh4_pend_3        3038.3     268       0.4
tn_11             3013.3     261       0.3
s6                2981.1     193       0.3
tn_7              2899.3     248       0.3
basket_idx        2884.8     254       0.3
sh4_pend_6        2869.2     250       0.3
tn_19             2860.5     256       0.3
cat2              2783.1     184       0.3
tn_3              2753.9     226       0.3
tn_21             2744.6     235       0.3
c4_tn_19          2739.4     213       0.3
dprom_6           2718.2     133       0.3
tn_22             2716.5     207       0.3
c4_tn_20          2690.5     204       0.3
sh4_0             2653.4     209       0.3
cv                2645.0     187       0.3
ncli_pend_6       2637.3     220       0.3
tn_9              2614.2     234       0.3
roll_min_6        2612.6     215       0.3
tn_20             2611.3     231       0.3
tn_10             2598.6     235       0.3
c4_tn_7           2593.4     192       0.3
sh4_acel          2572.5     229       0.3
roll_max_12       2569.6     229       0.3
c4_r_yoy_tri      2558.4     197       0.3
c4_tn_21          2522.4     171       0.3
diff_4_5          2518.3     234       0.3
roll_max_6        2486.4     217       0.3
dmax_12           2479.1     142       0.3
sh4_prom12        2460.2     202       0.3
diff_1_2          2393.7     205       0.3
diff_3_4          2390.6     215       0.3
roll_min_12       2380.1     210       0.3
tn_4              2370.1     208       0.3
c4_diff_0_12      2364.3     198       0.3
tn_6              2350.8     213       0.3
c4_tn_18          2344.4     178       0.3
diff_5_6          2331.8     214       0.3
diff_2_3          2283.1     208       0.3
c4_r_tri          2263.0     102       0.3
tn_5              2235.2     205       0.3
diff_0_1          2208.7     172       0.3
roll_std_6        2183.2     190       0.3
c4_tn_11          2177.9     186       0.3
r_1_2             2176.4     190       0.3
c4_diff_2_3       2085.4     168       0.2
c4_tn_4           2062.2     162       0.2
c4_tn_23          2042.1     141       0.2
c4_tn_8           2025.3     169       0.2
c4_tn_6           2005.0     160       0.2
r_0_1             1990.1     172       0.2
r_02_34           1951.1     170       0.2
pend_6            1933.0     134       0.2
c4_tn_2           1918.1     155       0.2
c4_tn_5           1871.7     151       0.2
c4_ma3_lag3       1864.6     130       0.2
c4_r_0_1          1863.7     148       0.2
c4_pend_6         1783.1     125       0.2
c4_diff_1_2       1745.8     148       0.2
c4_roll_med_12    1717.5     146       0.2
dmin_24           1684.2     139       0.2
c4_roll_max_12    1671.3     133       0.2
c4_dmax_12        1619.6     120       0.2
c4_roll_med_6     1601.5     119       0.2
c4_tn_12          1595.8     143       0.2
dmin_12           1559.2     118       0.2
dmax_6            1557.8     116       0.2
c4_s3             1547.3     113       0.2
c4_cv             1518.8     110       0.2
c4_diff_0_1       1514.8     116       0.2
r_tri             1513.7     126       0.2
c4_pend_12        1510.8     123       0.2
c4_tn_3           1447.9     119       0.2
c4_dprom_24       1417.9     108       0.2
c4_tn_0           1402.9     106       0.2
acel_ma3          1399.7     111       0.2
c4_tn_1           1391.5     119       0.2
c4_roll_med_3     1369.2     115       0.2
dmin_6            1366.1     109       0.2
c4_s6             1331.7     104       0.2
c4_log_prom       1203.2      93       0.1
c4_s2             1135.0      91       0.1
c4_acel_ma3       1116.9      73       0.1
edad_serie        1085.1      66       0.1
cat1                82.1       4       0.0
anio_corte          41.2       1       0.0
