exp_v13 FI

============================================================
fijo | cat4=8.8% occ=0.7%
============================================================
                      gain  splits  gain_pct
c3_diff_1_2          450.5      30       0.1
dmin_6               443.7      23       0.1
diff_5_6             435.8      34       0.1
c3_s2                427.6      28       0.1
c3_tn_0              416.3      23       0.1
c3_tn_12             413.9      30       0.1
r_tri                413.1      29       0.1
c3_diff_0_1          377.2      23       0.1
c4_tn_1              358.5      22       0.1
c3_roll_med_3        356.3      24       0.1
c3_r_tri             354.3      24       0.0
dmax_6               350.1      25       0.0
c3_tn_1              349.0      24       0.0
c3_s3                267.8      17       0.0
c3_acel_ma3          223.4      14       0.0
cat1                 137.6       6       0.0
anio_corte            17.5       1       0.0

============================================================
v11opt | cat4=11.9% occ=0.8%
============================================================
                      gain  splits  gain_pct
s3                155045.6     346      17.7
roll_std_3         93212.4     336      10.6
s2                 82580.1     282       9.4
tn_0               54261.1     166       6.2
roll_max_3         27861.8     192       3.2
roll_med_3         23443.8     150       2.7
ncli_idx           22719.7     198       2.6
ncli_0             18322.4     188       2.1
cat3               15753.7    1004       1.8
dprom_24           14488.4     136       1.7
ncli_pend_12        7825.1     486       0.9
sh4_ma3             6248.7     117       0.7
c3_tn_10            5339.9     160       0.6
c3_tn_9             5042.0     175       0.6
cat2                4963.0     327       0.6
tn_1                4818.0     190       0.5
c4_tn_10            4664.4     191       0.5
c3_tn_22            4656.5     167       0.5
c3_tn_15            4264.3     170       0.5
pend_12             4094.5     248       0.5
mes_corte           3878.3      96       0.4
pred_ols_rec        3741.3     295       0.4
sh_0                3728.5     141       0.4
c4_tn_22            3686.0     165       0.4
tn_15               3538.1     286       0.4
r_yoy_tri           3442.9     260       0.4
c4_tn_15            3437.7     209       0.4
tn_17               3405.3     281       0.4
c4_tn_16            3330.6     190       0.4
tn_13               3317.0     274       0.4
c3_ma3_lag3         3305.5     114       0.4
tn_14               3233.4     272       0.4
sh4_yoy             3161.8     265       0.4
occ_demanda_norm    3058.4     235       0.3
c4_tn_9             3038.8     183       0.3
tn_16               2960.5     245       0.3
c4_tn_13            2861.8     186       0.3
sh_ma3              2859.0     114       0.3
c4_tn_17            2811.9     208       0.3
ncli_prom           2747.4     205       0.3
roll_min_3          2745.6     150       0.3
sh_yoy              2709.8     234       0.3
tn_12               2690.6     223       0.3
sh_pend_12          2654.1     215       0.3
sh4_pend_12         2645.3     216       0.3
tn_23               2634.1     211       0.3
c4_tn_14            2621.9     197       0.3
occ_n_esperados     2527.7     184       0.3
c3_tn_4             2487.4     120       0.3
tn_19               2407.9     206       0.3
diff_0_12           2393.4     193       0.3
tn_3                2392.6     196       0.3
c3_tn_13            2392.1     154       0.3
