exp_v18 - FI del modelo de producto v11 + ocurrencia

============================================================
fijo | occ_gain=0.9%
============================================================
                      gain  splits  gain_pct
s2                256559.7     376      36.8
tn_0              100337.8     140      14.4
roll_med_3         39272.4     101       5.6
ncli_idx           32820.9     121       4.7
dprom_24           20552.3      80       2.9
ncli_0             16758.6     107       2.4
cat3               13489.8     621       1.9
tn_1               12411.0      86       1.8
ncli_pend_12        9665.4     285       1.4
c3_tn_10            7647.9     165       1.1
c3_tn_22            6694.2     152       1.0
cat2                6561.7     306       0.9
c3_tn_9             6436.7     175       0.9
s3                  6402.1     138       0.9
mes_corte           6187.3     119       0.9
c3_tn_15            5777.9     140       0.8
c3_ma3_lag3         5695.0      89       0.8
se_factor_glob      3954.9     126       0.6
pred_ols_rec        2584.5     145       0.4
occ_demanda_norm    2540.9     154       0.4
c3_tn_4             2466.0      77       0.4
c3_tn_13            2387.7     111       0.3
r_yoy_tri           2264.3     129       0.3
roll_max_3          2251.2      73       0.3
roll_std_3          2096.8      67       0.3
c3_tn_14            2049.6      94       0.3
tn_15               2012.4     136       0.3
ncli_prom           1980.4     111       0.3
c3_tn_17            1976.6     104       0.3
tn_2                1910.0     118       0.3
log_prom            1903.6     123       0.3
pend_12             1879.6      97       0.3
occ_n_esperados     1836.8     116       0.3
c3_tn_19            1825.1     106       0.3
dmax_24             1821.7      95       0.3
c3_tn_21            1743.5      86       0.2
c3_tn_16            1737.6      90       0.2
c3_tn_18            1732.6      94       0.2
ncli_pend_3         1707.2     119       0.2
tn_13               1688.8     115       0.2
tn_23               1666.8     115       0.2
sh_pend_12          1563.7     110       0.2
c3_s6               1525.3      70       0.2
tn_11               1489.8     104       0.2
tn_14               1482.4     106       0.2
tn_17               1480.7     109       0.2
tn_16               1479.3     106       0.2
tn_19               1476.7     108       0.2
occ_demanda_esp     1448.6      84       0.2
tn_12               1395.3      90       0.2
dmax_12             1394.3      69       0.2
c3_tn_20            1393.5      87       0.2
tn_3                1384.8      95       0.2
tn_22               1383.4     102       0.2
ncli_pend_6         1380.1      87       0.2
roll_med_6          1375.2      78       0.2
c3_pend_6           1356.3      45       0.2
c3_roll_med_12      1349.3      91       0.2
sh_0                1344.9      71       0.2
c3_tn_2             1274.0      68       0.2
ma3_lag9            1272.8      76       0.2
c3_tn_23            1259.0      59       0.2
diff_0_12           1245.7      87       0.2
c3_tn_8             1235.1      62       0.2
c3_r_yoy_tri        1233.0      79       0.2
sh_pend_3           1223.5      89       0.2
pend_6              1211.6      49       0.2
c3_diff_0_12        1190.4      80       0.2
cv                  1179.0      78       0.2
pred_ols_yoy        1169.6      67       0.2
c3_tn_5             1148.2      62       0.2
tn_18               1136.6      83       0.2
tn_21               1129.6      85       0.2
diff_2_3            1106.4      79       0.2
r_1_2               1082.7      75       0.2
basket_idx          1078.4      81       0.2
tn_20               1074.9      78       0.2
c3_tn_7             1071.7      54       0.2
s6                  1069.0      68       0.2
c3_r_0_1            1049.8      55       0.2
tn_7                1028.3      79       0.1
sh_yoy              1023.9      80       0.1
c3_tn_12            1018.3      69       0.1
roll_med_12         1012.6      72       0.1
sh_ma3               986.0      65       0.1
roll_min_3           974.7      65       0.1
c3_tn_6              970.2      65       0.1
diff_0_1             957.8      59       0.1
c3_tn_3              945.9      50       0.1
roll_min_6           945.7      67       0.1
c3_pend_12           943.0      59       0.1
c3_cv                932.7      61       0.1
roll_max_12          916.1      69       0.1
sh_ma3_lag3          907.1      59       0.1
se_factor_c2         904.5      46       0.1
ma3_lag3             871.1      54       0.1
tn_6                 860.7      66       0.1
sh_acel              856.5      68       0.1
dprom_6              853.9      53       0.1
dmax_6               851.9      55       0.1
c3_log_prom          848.8      58       0.1
c3_diff_2_3          837.1      53       0.1
c3_diff_1_2          818.5      54       0.1
diff_1_2             778.5      50       0.1
ma3_lag6             771.1      59       0.1
tn_10                766.7      59       0.1
tn_8                 755.2      58       0.1
diff_3_4             750.7      59       0.1
sh_pend_6            744.3      55       0.1
diff_4_5             743.5      59       0.1
roll_max_6           734.6      57       0.1
se_dev_c3            720.5      50       0.1
roll_std_6           696.3      53       0.1
acel_ma3             684.0      40       0.1
diff_5_6             679.7      55       0.1
c3_dmax_12           678.6      47       0.1
c3_tn_0              677.9      45       0.1
tn_5                 674.8      50       0.1
c3_roll_max_12       664.8      48       0.1
tn_9                 663.0      53       0.1
roll_min_12          658.7      46       0.1
sh_prom12            654.3      46       0.1
dmin_12              613.9      38       0.1
c3_diff_0_1          606.4      40       0.1
c3_tn_11             601.2      45       0.1
c3_roll_med_6        556.5      33       0.1
c3_s3                552.6      36       0.1
tn_4                 548.1      45       0.1
r_0_1                526.1      38       0.1
c3_tn_1              519.6      40       0.1
r_02_34              502.6      42       0.1
c3_roll_med_3        494.3      29       0.1
c3_acel_ma3          493.1      29       0.1
c3_dprom_24          468.5      33       0.1
se_factor            462.9      30       0.1
edad_serie           440.1      25       0.1
r_tri                439.5      32       0.1
dmin_24              430.6      33       0.1
c3_s2                349.5      25       0.1
dmin_6               325.6      23       0.0
c3_r_tri             295.0      22       0.0
se_n_c3              291.9      16       0.0
cat1                  88.1       3       0.0
anio_corte             0.0       0       0.0

============================================================
v11opt | occ_gain=1.1%
============================================================
                      gain  splits  gain_pct
s3                128297.2     341      14.9
s2                 97190.7     288      11.3
roll_std_3         91560.5     358      10.6
tn_0               58583.8     182       6.8
roll_max_3         45084.8     251       5.2
roll_med_3         23091.3     203       2.7
ncli_idx           22510.1     264       2.6
ncli_0             17515.0     247       2.0
cat3               16176.3    1080       1.9
dprom_24           14967.0     172       1.7
ncli_pend_12        9864.3     565       1.1
tn_1                9480.0     209       1.1
c3_tn_10            7204.4     257       0.8
c3_tn_9             6761.6     266       0.8
cat2                6688.2     450       0.8
sh_ma3              6092.7     167       0.7
c3_tn_22            5623.8     238       0.7
c3_tn_15            5580.4     262       0.6
mes_corte           4640.0     131       0.5
pred_ols_rec        4602.9     360       0.5
tn_13               4487.8     387       0.5
c3_ma3_lag3         4424.4     173       0.5
r_yoy_tri           4387.0     348       0.5
tn_17               4112.4     353       0.5
c3_tn_13            4012.4     261       0.5
tn_15               3951.8     339       0.5
tn_14               3862.7     342       0.4
tn_16               3854.2     327       0.4
occ_n_esperados     3851.1     305       0.4
occ_demanda_norm    3711.3     298       0.4
tn_2                3534.0     189       0.4
c3_tn_16            3457.1     246       0.4
diff_0_12           3401.6     284       0.4
ncli_pend_3         3385.6     276       0.4
ncli_prom           3329.0     266       0.4
tn_12               3209.5     283       0.4
tn_18               3191.8     266       0.4
c3_tn_14            3138.7     220       0.4
se_factor_glob      3105.8     133       0.4
tn_19               3006.9     265       0.3
tn_23               3004.9     237       0.3
pend_12             2997.1     194       0.3
log_prom            2989.2     242       0.3
dmax_24             2953.1     236       0.3
tn_11               2935.3     252       0.3
sh_pend_12          2923.3     253       0.3
