exp_v12 - FI del modelo de producto v11 + ocurrencia

============================================================
fijo | occ_gain=0.7%
============================================================
                      gain  splits  gain_pct
sh_pend_12          3228.5     281       0.4
log_prom            3227.2     266       0.4
tn_11               3223.4     276       0.4
pred_ols_yoy        3219.1     237       0.4
c3_tn_4             3135.4     173       0.4
tn_19               3134.9     282       0.4
diff_0_12           3130.9     261       0.4
ncli_prom           3053.3     244       0.4
tn_3                3029.9     264       0.4
tn_8                3001.3     266       0.4
ncli_pend_6         2922.3     250       0.3
tn_23               2914.3     243       0.3
tn_10               2884.9     261       0.3
dmax_24             2821.0     211       0.3
sh_yoy              2811.3     261       0.3
tn_22               2806.4     241       0.3
c3_tn_14            2789.6     225       0.3
roll_med_12         2776.0     249       0.3
c3_tn_21            2771.2     171       0.3
c3_tn_19            2758.3     209       0.3
c3_tn_17            2745.8     222       0.3
sh_pend_3           2720.3     250       0.3
tn_2                2679.5     187       0.3
diff_2_3            2633.1     236       0.3
c3_pend_6           2621.3     110       0.3
tn_20               2559.2     227       0.3
basket_idx          2519.1     226       0.3
tn_9                2492.1     232       0.3
diff_4_5            2478.9     223       0.3
tn_7                2474.8     223       0.3
c3_tn_7             2444.4     197       0.3
sh_pend_6           2430.7     219       0.3
roll_med_6          2419.9     193       0.3
diff_5_6            2410.0     223       0.3
diff_3_4            2398.2     220       0.3
c3_tn_18            2388.3     193       0.3
sh_acel             2356.5     210       0.3
cv                  2336.0     182       0.3
c3_r_yoy_tri        2331.7     186       0.3
c3_tn_8             2323.4     182       0.3
tn_21               2303.4     202       0.3
roll_min_6          2287.8     186       0.3
ma3_lag6            2282.7     193       0.3
roll_max_12         2250.4     194       0.3
occ_demanda_esp     2235.0     177       0.3
sh_ma3_lag3         2220.3     177       0.3
tn_6                2197.1     196       0.3
roll_std_6          2177.2     191       0.3
c3_tn_3             2156.6     160       0.3
roll_max_6          2140.7     189       0.2
c3_roll_med_12      2108.6     171       0.2
tn_4                2089.2     192       0.2
c3_diff_1_2         2078.7     172       0.2
pend_6              2074.2     139       0.2
c3_tn_6             2069.5     169       0.2
c3_tn_23            2067.0     163       0.2
roll_min_12         2062.1     187       0.2
dmax_12             2047.4     146       0.2
dprom_6             2042.1     144       0.2
sh_0                2036.4     161       0.2
ma3_lag3            2031.0     169       0.2
diff_0_1            2006.3     156       0.2
c3_diff_0_12        1990.2     167       0.2
c3_diff_2_3         1977.2     150       0.2
c3_tn_20            1959.0     164       0.2
tn_5                1955.4     180       0.2
c3_r_0_1            1946.1     158       0.2
s6                  1944.7     159       0.2
c3_s6               1920.9     131       0.2
r_1_2               1872.4     165       0.2
dmin_24             1845.0     162       0.2
diff_1_2            1807.7     160       0.2
c3_tn_5             1781.3     136       0.2
r_02_34             1760.1     161       0.2
dmax_6              1745.3     150       0.2
c3_tn_11            1744.1     155       0.2
roll_min_3          1722.8     150       0.2
c3_tn_2             1720.7     134       0.2
c3_roll_med_6       1651.4     124       0.2
c3_tn_12            1641.7     143       0.2
r_tri               1602.9     115       0.2
r_0_1               1590.0     141       0.2
sh_prom12           1563.4     139       0.2
c3_cv               1559.9     117       0.2
c3_diff_0_1         1556.3     131       0.2
c3_pend_12          1546.3     121       0.2
c3_dmax_12          1485.9     118       0.2
c3_dprom_24         1481.0     125       0.2
edad_serie          1473.6      90       0.2
c3_roll_max_12      1408.9     119       0.2
c3_log_prom         1394.1     118       0.2
dmin_12             1367.4     109       0.2
c3_tn_1             1354.7     114       0.2
c3_roll_med_3       1348.5     109       0.2
c3_s2               1272.9     113       0.1
c3_s3               1236.5     107       0.1
c3_tn_0             1231.6     104       0.1
acel_ma3            1129.2      97       0.1
c3_r_tri            1068.9      88       0.1
dmin_6               935.5      76       0.1
c3_acel_ma3          932.8      77       0.1
cat1                 113.0       8       0.0
anio_corte            20.7       2       0.0
